statefip,StateName,StateAbbrev,MktplceType,MktplcPlanElig_Total_NUM,PlanElig_With_FA_NUM,MktplcMcaidCHIPEligDet_Total_NUM,PlanSel_Total_NUM,PlanSel_Total_NUM,PlanSel_TotKnownGend_NUM,PlanSel_Fem_PCT,PlanSel_Male_PCT,PlanSel_Total_NUM,PlanSel_TotKnownAge_NUM,PlanSel_LT18_PCT,PlanSel_18-25_PCT,PlanSel_26-34_PCT,PlanSel_35-44_PCT,PlanSel_45-54_PCT,PlanSel_55-64_PCT,PlanSel_GE65_PCT,PlanSel_18-34_PCT,PlanSel_Total_NUM,PlanSel_MetalKnown_NUM,PlanSel_Bronze_PCT,PlanSel_Silver_PCT,PlanSel_Gold_PCT,PlanSel_PlatiPCT_PCT,PlanSel_Catastr_PCT,PlanSel_Total_NUM,PlanSel_FinAsstKnown_NUM,PlanSel_WithFinAsst_PCT,PlanSel_WOFinAsst_PCT,PlanSel_Fem_NUM,PlanSel_FemKnownAge_NUM,PlanSel_FemLT18_PCT,PlanSel_Fem18-25_PCT,PlanSel_Fem26-34_PCT,PlanSel_Fem35-44_PCT,PlanSel_Fem45-54_PCT,PlanSel_Fem55-64_PCT,PlanSel_FemGE65_PCT,PlanSel_0-20_PCT,PlanSel_18-34_PCT,PlanSel_Male_NUM,PlanSel_MaleKnownAge_NUM,PlanSel_MaleLT18_PCT,PlanSel_Male18-25_PCT,PlanSel_Male26-34_PCT,PlanSel_Male35-44_PCT,PlanSel_Male45-54_PCT,PlanSel_Male55-64_PCT,PlanSel_MaleGE65_PCT,PlanSel_0-20_PCT,PlanSel_18-34_PCT,PlanSel_Fem_NUM,PlanSel_FemMetalKnown_NUM,PlanSel_FemBronze_PCT,PlanSel_FemSilver_PCT,PlanSel_FemGold_PCT,PlanSel_FemPlatiPCT_PCT,PlanSel_FemCatastr_PCT,PlanSel_Male_NUM,PlanSel_MaleMetalKnown_NUM,PlanSel_MaleBronze_PCT,PlanSel_MaleSilver_PCT,PlanSel_MaleGold_PCT,PlanSel_MalePlatiPCT_PCT,PlanSel_MaleCatastr_PCT,PlanSel_WithFinAsst_NUM,PlanSel_WithFinAsstMetalKnown_NUM,PlanSel_WithFinAsstBronze_PCT,PlanSel_WithFinAsstSilver_PCT,PlanSel_WithFinAsstGold_PCT,PlanSel_WithFinAsstPlatiPCT_PCT,PlanSel_WithFinAsstCatastr_PCT,PlanSel_WOFinAsst_NUM,PlanSel_WOFinAsstMetalKnown_NUM,PlanSel_WOFinAsstBronze_PCT,PlanSel_WOFinAsstSilver_PCT,PlanSel_WOFinAsstGold_PCT,PlanSel_WOFinAsstPlatiPCT_PCT,PlanSel_WOFinAsstCatastr_PCT,PlanSel_Brze_NUM,PlanSel_BrzeKnownAge_NUM,PlanSel_BrzeLT18_PCT,PlanSel_Brze18-25_PCT,PlanSel_Brze26-34_PCT,PlanSel_Brze35-44_PCT,PlanSel_Brze45-54_PCT,PlanSel_Brze55-64_PCT,PlanSel_BrzeGE65_PCT,PlanSel_Brze18-34_PCT,PlanSel_Silv_NUM,PlanSel_SilvKnownAge_NUM,PlanSel_SilvLT18_PCT,PlanSel_Silv18-25_PCT,PlanSel_Silv26-34_PCT,PlanSel_Silv35-44_PCT,PlanSel_Silv45-54_PCT,PlanSel_Silv55-64_PCT,PlanSel_SilvGE65_PCT,PlanSel_Silv18-34_PCT,PlanSel_Gold_NUM,PlanSel_GoldKnownAge_NUM,PlanSel_GoldLT18_PCT,PlanSel_Gold18-25_PCT,PlanSel_Gold26-34_PCT,PlanSel_Gold35-44_PCT,PlanSel_Gold45-54_PCT,PlanSel_Gold55-64_PCT,PlanSel_GoldGE65_PCT,PlanSel_Gold18-34_PCT,PlanSel_Plat_NUM,PlanSel_PlatKnownAge_NUM,PlanSel_PlatLT18_PCT,PlanSel_Plat18-25_PCT,PlanSel_Plat26-34_PCT,PlanSel_Plat35-44_PCT,PlanSel_Plat45-54_PCT,PlanSel_Plat55-64_PCT,PlanSel_PlatGE65_PCT,PlanSel_Plat18-34_PCT,PlanSel_Cat_NUM,PlanSel_CatKnownAge_NUM,PlanSel_CatLT18_PCT,PlanSel_Cat18-25_PCT,PlanSel_Cat26-34_PCT,PlanSel_Cat35-44_PCT,PlanSel_Cat45-54_PCT,PlanSel_Cat55-64_PCT,PlanSel_CatGE65_PCT,PlanSel_Cat18-34_PCT,PlanSel_StDent_NUM,PlanSel_StDentKnownAge_NUM,PlanSel_StDentLT18_PCT,PlanSel_StDent18-25_PCT,PlanSel_StDent26-34_PCT,PlanSel_StDent35-44_PCT,PlanSel_StDent45-54_PCT,PlanSel_StDent55-64_PCT,PlanSel_StDentGE65_PCT,PlanSel_StDent18-34_PCT,PlanSel_Total_NUM,PlanSel_AIAN_NUM,PlanSel_Asian_NUM,PlanSel_NHPI_NUM,PlanSel_AfrAm_NUM,PlanSel_Latino_NUM,PlanSel_White_NUM,PlanSel_Multir_NUM,PlanSel_UnknOth_NUM,PlanSel_TotKnownRaceEth_NUM,PlanSel_AIAN_PCT,PlanSel_Asian_PCT,PlanSel_NHPI_PCT,PlanSel_AfrAm_PCT,PlanSel_Latino_PCT,PlanSel_White_PCT,PlanSel_Multir_PCT,PlanSel_Total_Prev_NUM,PlanSel_Total_NUM,PlanSel_Total_Chg_NUM,PlanSel_Total_Chg_PCT
13,Georgia ,GA,FFM,572025,343925,91914,316543,316543,316471,0.57,0.43,316543,316543,0.05,0.13,0.19,0.2,0.23,0.21,0,0.31,316543,316543,0.11,0.71,0.07,0.1,0.02,316543,316543,0.87,0.13,179227,179227,0.04,0.12,0.19,0.2,0.23,0.22,0,0.08,0.31,137244,137244,0.05,0.13,0.19,0.2,0.22,0.2,0,0.1,0.32,179227,179227,0.1,0.73,0.06,0.09,0.02,137244,137244,0.12,0.69,0.07,0.1,0.03,275378,275378,0.09,0.79,0.05,0.07,,41165,41165,0.25,0.19,0.14,0.24,0.19,33923,33923,0.05,0.11,0.2,0.19,0.22,0.22,0,0.31,225147,225147,0.03,0.13,0.18,0.21,0.23,0.21,0,0.31,20642,20642,0.09,0.09,0.16,0.19,0.22,0.25,0,0.25,30260,30260,0.1,0.09,0.18,0.21,0.21,0.21,0,0.27,7809,7809,0.01,0.37,0.45,0.09,0.06,0.02,,0.815853502,84624,84624,0.04,0.13,0.23,0.22,0.21,0.16,0,0.35,316543,302,33184,146,86631,8183,93078,3041,91978,224565,0.001,0.148,0.001,0.386,0.036,0.414,0.014,139371,316543,177172,1.271225721
15,Hawaii ,HI,SBM,15694,4549,,8592,8592,8592,0.5,0.5,8592,8592,0.13,0.07,0.14,0.15,0.19,0.29,0.04,0.2,8592,8592,0.41,0.26,0.15,0.19,0,8592,8592,0.38,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4661,8592,3931,0.843381249
16,Idaho ,ID,FFM,107849,83662,10709,76061,76061,76047,0.54,0.46,76061,76061,0.15,0.1,0.17,0.16,0.18,0.23,0,0.27,76061,76061,0.15,0.72,0.1,0.03,0.01,76061,76061,0.92,0.08,40973,40973,0.13,0.1,0.17,0.16,0.19,0.24,0,0.17,0.27,35074,35074,0.17,0.1,0.17,0.17,0.18,0.22,0,0.2,0.27,40973,40973,0.15,0.73,0.09,0.02,0.01,35074,35074,0.16,0.71,0.1,0.03,0.01,69780,69780,0.14,0.76,0.08,0.02,,6281,6281,0.32,0.24,0.25,0.12,0.08,11745,11745,0.17,0.08,0.14,0.14,0.19,0.27,0,0.22,54720,54720,0.14,0.11,0.18,0.17,0.18,0.22,0,0.29,7251,7251,0.2,0.08,0.14,0.14,0.18,0.26,0,0.21,1982,1982,0.19,0.09,0.19,0.17,0.17,0.19,0,0.28,500,500,0.04,0.35,0.48,0.06,0.05,0.02,,0.828,10706,10706,0.29,0.09,0.18,0.16,0.14,0.14,0,0.27,76061,279,1197,92,276,4779,47330,737,21371,54690,0.005,0.022,0.002,0.005,0.087,0.865,0.013,43861,76061,32200,0.734137389
17,Illinois ,IL,FFM,369696,242255,181070,217492,217492,217458,0.53,0.47,217492,217492,0.06,0.1,0.18,0.15,0.22,0.29,0,0.28,217492,217492,0.29,0.56,0.15,0.01,0,217492,217492,0.77,0.23,114329,114329,0.05,0.09,0.17,0.15,0.23,0.31,0,0.08,0.26,103129,103129,0.06,0.1,0.19,0.16,0.21,0.27,0,0.1,0.29,114329,114329,0.27,0.58,0.14,0.01,0,103129,103129,0.31,0.54,0.15,0.01,0.01,168185,168185,0.25,0.65,0.1,0,,49307,49307,0.42,0.24,0.3,0.02,0.02,62217,62217,0.05,0.09,0.19,0.15,0.22,0.29,0,0.28,121467,121467,0.05,0.1,0.17,0.15,0.22,0.3,0,0.28,31603,31603,0.1,0.07,0.17,0.17,0.21,0.28,0,0.25,1723,1723,0.1,0.08,0.22,0.23,0.19,0.17,0,0.3,1018,1018,0.04,0.36,0.59,0,0,0,,0.947937132,48489,48489,0.06,0.09,0.23,0.17,0.21,0.24,0,0.32,217492,217,15808,91,17370,15691,114356,2054,51905,165587,0.001,0.095,0.001,0.105,0.095,0.691,0.012,113733,217492,103759,0.912303377
18,Indiana ,IN,FFM,229815,155961,94495,132423,132423,132401,0.56,0.44,132423,132423,0.07,0.09,0.17,0.16,0.21,0.29,0,0.26,132423,132423,0.28,0.67,0.05,0,0.01,132423,132423,0.89,0.11,73699,73699,0.06,0.09,0.16,0.16,0.22,0.31,0,0.09,0.25,58702,58702,0.08,0.1,0.18,0.17,0.21,0.27,0,0.12,0.27,73699,73699,0.26,0.69,0.05,0,0.01,58702,58702,0.3,0.64,0.05,0,0.01,117761,117761,0.26,0.71,0.03,0,,14662,14662,0.42,0.32,0.17,0,0.09,36757,36757,0.08,0.08,0.16,0.16,0.22,0.3,0,0.24,88352,88352,0.06,0.09,0.17,0.17,0.21,0.3,0,0.26,6405,6405,0.14,0.08,0.15,0.18,0.2,0.26,0,0.22,,,,,,,,,,,1339,1339,0.04,0.36,0.49,0.04,0.04,0.02,,0.857356236,26257,26257,0.07,0.1,0.21,0.19,0.2,0.22,0,0.31,132423,153,4693,*,9908,3185,79240,1124,34081,98342,0.002,0.048,*,0.101,0.032,0.806,0.011,64972,132423,67451,1.038154897
19,Iowa ,IA,FFM,57184,37328,36891,29163,29163,29159,0.54,0.46,29163,29163,0.04,0.09,0.18,0.16,0.22,0.31,0,0.27,29163,29163,0.26,0.57,0.12,0.04,0.02,29163,29163,0.84,0.16,15853,15853,0.04,0.08,0.17,0.16,0.23,0.32,0,0.06,0.26,13306,13306,0.05,0.09,0.2,0.16,0.21,0.29,0,0.07,0.29,15853,15853,0.24,0.59,0.12,0.04,0.02,13306,13306,0.27,0.54,0.12,0.04,0.03,24485,24485,0.23,0.64,0.1,0.03,,4678,4678,0.39,0.16,0.23,0.1,0.13,7511,7511,0.04,0.07,0.18,0.16,0.24,0.3,0,0.25,16528,16528,0.03,0.08,0.18,0.17,0.22,0.31,0,0.26,3460,3460,0.08,0.07,0.16,0.14,0.19,0.36,0,0.22,1139,1139,0.11,0.08,0.2,0.19,0.19,0.24,0,0.28,619,619,0.03,0.39,0.57,0.01,0.01,0,,0.953150242,5634,5634,0.04,0.09,0.25,0.19,0.2,0.23,0,0.34,29163,48,727,*,698,901,19932,252,6594,22569,0.002,0.032,*,0.031,0.04,0.883,0.011,15346,29163,13817,0.900364916
20,Kansas ,KS,FFM,99380,59601,13961,57013,57013,57003,0.55,0.45,57013,57013,0.07,0.11,0.2,0.16,0.2,0.26,0,0.31,57013,57013,0.19,0.6,0.16,0.02,0.04,57013,57013,0.79,0.21,31575,31575,0.06,0.11,0.2,0.16,0.2,0.27,0,0.09,0.31,25428,25428,0.08,0.11,0.21,0.17,0.19,0.24,0,0.11,0.32,31575,31575,0.18,0.62,0.16,0.02,0.03,25428,25428,0.2,0.57,0.16,0.03,0.04,44869,44869,0.15,0.71,0.12,0.01,,12144,12144,0.31,0.17,0.29,0.06,0.17,10672,10672,0.07,0.09,0.21,0.16,0.2,0.25,0,0.31,34173,34173,0.05,0.11,0.19,0.17,0.21,0.27,0,0.3,9002,9002,0.14,0.08,0.17,0.16,0.18,0.27,0,0.25,1266,1266,0.08,0.11,0.22,0.19,0.2,0.2,0,0.33,2110,2110,0.02,0.35,0.47,0.08,0.05,0.04,,0.817061611,8769,8769,0.04,0.12,0.25,0.19,0.19,0.2,0,0.37,57013,241,2427,32,2937,3148,33826,966,13436,43577,0.006,0.056,0.001,0.067,0.072,0.776,0.022,29309,57013,27704,0.945238664
21,Kentucky ,KY,SBM,201593,91092,357990,82747,82747,82747,0.51,0.49,82747,82747,0.1,0.08,0.15,0.17,0.22,0.28,0,0.23,82747,82747,0.13,0.43,0.17,0.26,0.01,82747,82747,0.72,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54945,82747,27802,0.505996906
22,Louisiana ,LA,FFM,184041,113337,14359,101778,101778,101738,0.59,0.41,101778,101778,0.03,0.12,0.2,0.18,0.22,0.24,0,0.32,101778,101778,0.19,0.65,0.08,0.07,0.02,101778,101778,0.88,0.12,60254,60254,0.03,0.12,0.2,0.17,0.22,0.25,0,0.06,0.32,41484,41484,0.04,0.12,0.2,0.18,0.22,0.23,0,0.08,0.32,60254,60254,0.17,0.68,0.08,0.05,0.02,41484,41484,0.21,0.61,0.09,0.08,0.02,89341,89341,0.16,0.72,0.07,0.05,,12437,12437,0.35,0.16,0.15,0.21,0.14,18999,18999,0.04,0.1,0.21,0.17,0.23,0.25,0,0.31,66456,66456,0.02,0.12,0.19,0.18,0.23,0.25,0,0.31,8189,8189,0.09,0.09,0.17,0.16,0.21,0.27,0,0.26,6745,6745,0.07,0.09,0.23,0.22,0.22,0.17,0,0.32,1718,1718,0.01,0.39,0.43,0.1,0.05,0.03,,0.817229336,21247,21247,0.01,0.13,0.27,0.21,0.2,0.18,0,0.4,101778,279,4970,*,24023,1415,31769,820,38475,63303,0.004,0.079,*,0.379,0.022,0.502,0.013,45561,101778,56217,1.233884243
23,Maine ,ME,FFM,68541,48531,7103,44258,44258,44247,0.54,0.46,44258,44258,0.08,0.08,0.15,0.14,0.22,0.34,0,0.22,44258,44258,0.19,0.72,0.08,0,0.01,44258,44258,0.9,0.1,23819,23819,0.08,0.07,0.13,0.13,0.23,0.36,0,0.1,0.21,20428,20428,0.09,0.08,0.16,0.14,0.21,0.31,0,0.12,0.24,23819,23819,0.18,0.73,0.08,0,0.01,20428,20428,0.2,0.71,0.08,0,0.01,39809,39809,0.17,0.77,0.06,0,,4449,4449,0.36,0.36,0.21,0,0.09,8469,8469,0.11,0.06,0.15,0.14,0.22,0.32,0,0.21,32074,32074,0.07,0.08,0.14,0.13,0.22,0.35,0,0.22,3420,3420,0.15,0.06,0.14,0.16,0.22,0.27,0,0.2,0,0,,,,,,,,,389,389,0.03,0.32,0.53,0.04,0.04,0.04,,0.845758355,6214,6214,0.1,0.07,0.17,0.16,0.22,0.27,0,0.25,44258,94,504,*,246,210,32809,330,10053,34205,0.003,0.015,*,0.007,0.006,0.959,0.01,25412,44258,18846,0.741618133
24,Maryland,MD,SBM,99298,84015,163602,67757,67757,67757,0.54,0.46,67757,67757,0.04,0.1,0.2,0.19,0.24,0.23,0.01,0.29,67757,67757,0.31,0.49,0.13,0.06,0.01,67757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38070,67757,29687,0.779800368
25,Massachusetts ,MA,SBM,31695,,,31695,31695,,,,31695,23165,0.14,0.08,0.21,0.15,0.2,0.22,0.01,0.29,31695,23165,0.19,0.37,0.23,0.2,0.01,31695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12965,31695,18730,1.444658696
26,Michigan ,MI,FFM,467878,297742,67217,272539,272539,272484,0.54,0.46,272539,272538,0.06,0.11,0.18,0.16,0.22,0.27,0,0.29,272539,272539,0.13,0.75,0.09,0.02,0.02,272539,272539,0.87,0.13,146952,146952,0.05,0.11,0.17,0.15,0.23,0.29,0,0.08,0.28,125532,125531,0.06,0.11,0.2,0.16,0.21,0.25,0,0.09,0.31,146952,146952,0.12,0.76,0.08,0.02,0.02,125532,125532,0.14,0.73,0.09,0.02,0.03,237337,237337,0.11,0.81,0.07,0.01,,35202,35202,0.25,0.29,0.22,0.07,0.19,34879,34879,0.06,0.09,0.19,0.15,0.22,0.28,0,0.28,203234,203233,0.05,0.11,0.17,0.16,0.23,0.28,0,0.28,23228,23228,0.13,0.09,0.16,0.16,0.21,0.26,0,0.25,5860,5860,0.09,0.11,0.21,0.19,0.2,0.2,0,0.32,6558,6558,0.01,0.36,0.46,0.07,0.06,0.03,,0.826014029,55399,55398,0.05,0.13,0.25,0.19,0.2,0.18,0,0.37,272539,680,8063,*,22593,4256,135713,2588,98587,173952,0.004,0.046,*,0.13,0.024,0.78,0.015,144587,272539,127952,0.884948163
27,Minnesota ,MN,SBM,101645,36217,144481,48495,48495,42969,0.51,0.49,48495,42969,0.1,0.06,0.18,0.15,0.19,0.32,0,0.24,48495,42969,0.25,0.34,0.12,0.27,0.01,48495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32030,48495,16465,0.514049329
28,Mississippi ,MS,FFM,117518,72219,13779,61494,61494,61479,0.59,0.41,61494,61494,0.03,0.13,0.18,0.18,0.22,0.25,0,0.31,61494,61494,0.08,0.79,0.05,0.07,0.01,61494,61494,0.94,0.06,36046,36046,0.03,0.13,0.17,0.18,0.23,0.26,0,0.07,0.3,25433,25433,0.04,0.14,0.18,0.18,0.21,0.24,0,0.09,0.32,36046,36046,0.08,0.8,0.04,0.07,0.01,25433,25433,0.1,0.77,0.05,0.08,0.01,57724,57724,0.07,0.83,0.04,0.07,,3770,3770,0.37,0.21,0.17,0.11,0.18,5159,5159,0.04,0.11,0.18,0.16,0.23,0.28,0,0.29,48546,48546,0.02,0.14,0.18,0.19,0.23,0.25,0,0.31,2786,2786,0.08,0.1,0.14,0.16,0.23,0.27,0,0.25,4594,4594,0.08,0.11,0.15,0.16,0.21,0.28,0,0.26,674,674,0.03,0.41,0.41,0.1,0.04,0.02,,0.816023739,11119,11119,0.04,0.14,0.2,0.2,0.21,0.21,0,0.34,61494,40,2235,*,25856,535,14441,315,18066,43428,0.001,0.051,*,0.595,0.012,0.333,0.007,25554,61494,35940,1.406433435
29,Missouri ,MO,FFM,268764,166440,45513,152335,152335,152302,0.55,0.45,152335,152335,0.06,0.11,0.19,0.17,0.21,0.26,0,0.3,152335,152335,0.21,0.63,0.13,0,0.03,152335,152335,0.85,0.15,83723,83723,0.05,0.11,0.19,0.16,0.21,0.27,0,0.09,0.29,68579,68579,0.07,0.11,0.2,0.17,0.21,0.24,0,0.1,0.31,83723,83723,0.2,0.65,0.12,0,0.03,68579,68579,0.23,0.61,0.14,0,0.03,130167,130167,0.19,0.71,0.1,0,,22168,22168,0.35,0.16,0.31,0,0.2,32691,32691,0.06,0.1,0.2,0.16,0.22,0.25,0,0.3,95945,95945,0.05,0.11,0.18,0.17,0.22,0.26,0,0.29,19944,19944,0.09,0.08,0.16,0.17,0.21,0.29,0,0.24,0,0,,,,,,,,,4362,4362,0.03,0.34,0.46,0.09,0.06,0.03,,0.795965154,28362,28362,0.06,0.11,0.25,0.19,0.19,0.19,0,0.36,152335,340,4727,95,14095,2470,87426,1750,41432,110903,0.003,0.043,0.001,0.127,0.022,0.788,0.016,74469,152335,77866,1.045616297
30,Montana ,MT,FFM,55675,39572,4638,36584,36584,36580,0.53,0.47,36584,36584,0.06,0.09,0.19,0.16,0.2,0.31,0,0.28,36584,36584,0.27,0.56,0.1,0.07,0.01,36584,36584,0.86,0.14,19536,19536,0.05,0.09,0.18,0.15,0.2,0.32,0,0.08,0.27,17044,17044,0.06,0.09,0.2,0.17,0.19,0.29,0,0.09,0.29,19536,19536,0.26,0.58,0.1,0.06,0.01,17044,17044,0.28,0.54,0.1,0.07,0.01,31452,31452,0.25,0.62,0.08,0.05,,5132,5132,0.38,0.17,0.22,0.18,0.06,9761,9761,0.08,0.07,0.16,0.14,0.2,0.34,0,0.23,20433,20433,0.03,0.1,0.21,0.16,0.2,0.3,0,0.3,3729,3729,0.12,0.07,0.15,0.16,0.2,0.29,0,0.22,2447,2447,0.1,0.08,0.21,0.18,0.19,0.24,0,0.29,284,284,0.04,0.27,0.52,0.06,0.07,0.04,,0.792253521,5718,5718,0.1,0.08,0.21,0.18,0.19,0.24,0,0.29,36584,521,373,19,80,564,28125,469,6433,30151,0.017,0.012,0.001,0.003,0.019,0.933,0.016,22542,36584,14042,0.622926094
31,Nebraska ,NE,FFM,74606,50382,9879,42975,42975,42967,0.54,0.46,42975,42975,0.11,0.11,0.19,0.16,0.19,0.24,0,0.29,42975,42975,0.23,0.62,0.08,0.06,0.02,42975,42975,0.87,0.13,23104,23104,0.1,0.11,0.19,0.16,0.19,0.25,0,0.14,0.3,19863,19863,0.13,0.1,0.19,0.17,0.19,0.22,0,0.16,0.29,23104,23104,0.22,0.64,0.08,0.06,0.02,19863,19863,0.24,0.6,0.08,0.06,0.02,37447,37447,0.21,0.68,0.07,0.05,,5528,5528,0.34,0.24,0.15,0.14,0.15,9763,9763,0.12,0.08,0.18,0.15,0.19,0.27,0,0.26,26619,26619,0.1,0.11,0.19,0.17,0.2,0.23,0,0.3,3361,3361,0.19,0.07,0.15,0.14,0.17,0.27,0,0.22,2555,2555,0.18,0.1,0.18,0.17,0.17,0.2,0,0.28,806,806,0.03,0.35,0.48,0.07,0.04,0.02,,0.828784119,4157,4157,0.07,0.11,0.25,0.2,0.17,0.19,0,0.36,42975,167,1020,19,1369,1979,27578,417,10426,32549,0.005,0.031,0.001,0.042,0.061,0.847,0.013,25582,42975,17393,0.679892112
32,Nevada ,NV,SBM,134942,89683.18415,182946,45390,45390,,,,45390,45390,0.09,0.08,0.16,0.17,0.2,0.27,0.03,0.24,45390,45390,0.24,0.53,0.12,0.09,0.02,45390,45390,0.82,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28535,45390,16855,0.590678115
33,New Hampshire ,NH,FFM,64901,39818,7235,40262,40262,40260,0.53,0.47,40262,40262,0.05,0.09,0.17,0.15,0.23,0.3,0,0.27,40262,40262,0.26,0.59,0.14,0,0.02,40262,40262,0.77,0.23,21537,21537,0.05,0.09,0.17,0.15,0.23,0.31,0,0.08,0.26,18723,18723,0.06,0.09,0.18,0.15,0.23,0.29,0,0.09,0.27,21537,21537,0.25,0.6,0.13,0,0.01,18723,18723,0.27,0.57,0.14,0,0.02,30920,30920,0.23,0.68,0.1,0,,9342,9342,0.38,0.29,0.27,0,0.07,10594,10594,0.06,0.08,0.16,0.14,0.24,0.33,0,0.23,23641,23641,0.04,0.1,0.18,0.15,0.23,0.3,0,0.28,5481,5481,0.12,0.08,0.15,0.17,0.22,0.26,0,0.23,0,0,,,,,,,,,667,667,0.02,0.31,0.55,0.04,0.04,0.04,,0.856071964,6762,6762,0.05,0.09,0.22,0.17,0.23,0.24,0,0.31,40262,39,1183,*,330,374,27465,325,10537,29725,0.001,0.04,*,0.011,0.013,0.924,0.011,21578,40262,18684,0.865881917
34,New Jersey ,NJ,FFM,301965,193286,179872,161775,161775,161749,0.53,0.47,161775,161772,0.06,0.1,0.15,0.17,0.25,0.26,0.01,0.25,161775,161775,0.14,0.69,0.13,0.03,0.01,161775,161775,0.84,0.16,85805,85803,0.06,0.1,0.15,0.16,0.25,0.27,0.01,0.09,0.24,75944,75943,0.07,0.11,0.16,0.17,0.24,0.24,0.01,0.1,0.27,85805,85805,0.13,0.71,0.13,0.03,0.01,75944,75944,0.15,0.67,0.13,0.03,0.02,136291,136291,0.12,0.75,0.11,0.02,,25484,25484,0.24,0.37,0.23,0.08,0.09,22397,22396,0.05,0.09,0.16,0.17,0.25,0.27,0.01,0.25,111915,111913,0.05,0.1,0.14,0.16,0.26,0.27,0.01,0.25,20692,20692,0.12,0.09,0.15,0.17,0.23,0.24,0,0.23,4897,4897,0.13,0.08,0.19,0.22,0.21,0.16,0.01,0.27,2238,2238,0.03,0.34,0.6,0.02,0.01,0,,0.936997319,34796,34794,0.07,0.11,0.21,0.2,0.23,0.18,0.01,0.32,161775,124,17422,124,14127,7215,66632,1263,54868,106907,0.001,0.163,0.001,0.132,0.067,0.623,0.012,74370,161775,87405,1.175272287
35,New Mexico ,NM,FFM,58628,39543,30147,32062,32062,32056,0.55,0.45,32062,32062,0.07,0.07,0.15,0.15,0.23,0.32,0.01,0.23,32062,32062,0.23,0.62,0.14,0,0.01,32062,32062,0.79,0.21,17484,17484,0.07,0.07,0.14,0.15,0.23,0.34,0.01,0.09,0.21,14572,14572,0.08,0.07,0.17,0.15,0.22,0.3,0,0.1,0.24,17484,17484,0.22,0.64,0.13,0,0.01,14572,14572,0.25,0.6,0.14,0,0.01,25376,25376,0.2,0.7,0.09,0,,6686,6686,0.34,0.31,0.29,0.01,0.05,7497,7497,0.07,0.07,0.15,0.14,0.23,0.34,0.01,0.22,19833,19833,0.06,0.07,0.15,0.15,0.23,0.33,0.01,0.22,4373,4373,0.11,0.06,0.16,0.17,0.23,0.28,0,0.21,119,119,0.18,0.07,0.13,0.22,0.2,0.2,0,0.19,302,302,0.03,0.34,0.59,0.02,0.01,0.01,,0.930463576,6919,6919,0.08,0.07,0.19,0.17,0.21,0.26,0,0.27,32062,566,857,16,395,7146,13684,349,9049,23013,0.025,0.037,0.001,0.017,0.311,0.595,0.015,15012,32062,17050,1.13575806
36,New York ,NY,SBM,707638,369380,646018,370451,370451,370451,0.51,0.49,370451,370451,0.03,0.1,0.21,0.18,0.23,0.25,0,0.31,370451,370451,0.19,0.56,0.1,0.13,0.02,370451,370451,0.74,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244618,370451,125833,0.514406135
